id,mbti,location,preffered_category,travel_style,age,past_trip_rating,travel_frequency
222,INTJ,padang,snorkling_area,family,59,3,1
223,INTJ,batam,snorkling_area,family,35,3,3
224,INTJ,yogyakarta,snorkling_area,family,32,5,2
225,INTJ,jakarta,snorkling_area,partner,29,4,3
226,INTJ,medan,snorkling_area,partner,47,3,1
227,INTJ,lombok,snorkling_area,partner,58,5,1
228,INTJ,bali,snorkling_area,partner,31,5,4
229,INTJ,padang,snorkling_area,partner,35,4,3
230,INTJ,batam,snorkling_area,partner,68,4,2
231,INTJ,yogyakarta,snorkling_area,partner,66,3,1
232,INTJ,jakarta,kebun_binatang,solo,26,5,4
233,INTJ,medan,kebun_binatang,solo,36,3,3
234,INTJ,lombok,kebun_binatang,solo,37,3,1
235,INTJ,bali,kebun_binatang,solo,38,4,4
236,INTJ,padang,kebun_binatang,solo,45,4,5
237,INTJ,batam,kebun_binatang,solo,58,3,5
238,INTJ,yogyakarta,kebun_binatang,solo,54,3,3
239,INTJ,jakarta,kebun_binatang,family,70,3,1
240,INTJ,medan,kebun_binatang,family,31,3,2
241,INTJ,lombok,kebun_binatang,family,46,5,4
242,INTJ,bali,kebun_binatang,family,58,3,2
243,INTJ,padang,kebun_binatang,family,52,5,1
244,INTJ,batam,kebun_binatang,family,48,3,4
245,INTJ,yogyakarta,kebun_binatang,family,63,4,2
246,INTJ,jakarta,kebun_binatang,partner,41,4,1
247,INTJ,medan,kebun_binatang,partner,18,4,2
248,INTJ,lombok,kebun_binatang,partner,52,5,3
249,INTJ,bali,kebun_binatang,partner,31,3,5
250,INTJ,padang,kebun_binatang,partner,30,5,1
251,INTJ,batam,kebun_binatang,partner,46,4,3
252,INTJ,yogyakarta,kebun_binatang,partner,37,5,5
253,INTP,jakarta,pantai,solo,18,5,1
254,INTP,medan,pantai,solo,49,4,4
255,INTP,lombok,pantai,solo,27,3,1
256,INTP,bali,pantai,solo,53,4,3
257,INTP,padang,pantai,solo,46,3,2
258,INTP,batam,pantai,solo,36,4,3
259,INTP,yogyakarta,pantai,solo,67,4,5
260,INTP,jakarta,pantai,family,55,3,3
261,INTP,medan,pantai,family,53,4,1
262,INTP,lombok,pantai,family,41,5,4
263,INTP,bali,pantai,family,45,5,4
264,INTP,padang,pantai,family,61,5,4
265,INTP,batam,pantai,family,45,5,2
266,INTP,yogyakarta,pantai,family,27,3,4
267,INTP,jakarta,pantai,partner,70,3,5
268,INTP,medan,pantai,partner,57,3,1
269,INTP,lombok,pantai,partner,68,4,3
270,INTP,bali,pantai,partner,27,4,2
271,INTP,padang,pantai,partner,66,4,4
272,INTP,batam,pantai,partner,44,4,4
273,INTP,yogyakarta,pantai,partner,56,4,3
274,INTP,jakarta,alam,solo,46,5,4
275,INTP,medan,alam,solo,18,3,5
276,INTP,lombok,alam,solo,50,4,5
277,INTP,bali,alam,solo,27,3,4
278,INTP,padang,alam,solo,31,5,3
279,INTP,batam,alam,solo,54,5,4
280,INTP,yogyakarta,alam,solo,49,3,1
281,INTP,jakarta,alam,family,32,5,2
282,INTP,medan,alam,family,34,3,5
283,INTP,lombok,alam,family,42,5,3
284,INTP,bali,alam,family,43,5,5
285,INTP,padang,alam,family,30,5,1
286,INTP,batam,alam,family,44,3,4
287,INTP,yogyakarta,alam,family,64,3,1
288,INTP,jakarta,alam,partner,57,3,2
289,INTP,medan,alam,partner,18,4,3
290,INTP,lombok,alam,partner,46,3,4
291,INTP,bali,alam,partner,45,5,5
292,INTP,padang,alam,partner,58,3,1
293,INTP,batam,alam,partner,43,5,1
294,INTP,yogyakarta,alam,partner,65,4,1
295,INTP,jakarta,tujuan_wisata,solo,57,4,4
296,INTP,medan,tujuan_wisata,solo,60,3,1
297,INTP,lombok,tujuan_wisata,solo,51,5,1
298,INTP,bali,tujuan_wisata,solo,28,5,5
299,INTP,padang,tujuan_wisata,solo,24,5,3
300,INTP,batam,tujuan_wisata,solo,66,5,1
301,INTP,yogyakarta,tujuan_wisata,solo,61,5,1
302,INTP,jakarta,tujuan_wisata,family,60,5,1
303,INTP,medan,tujuan_wisata,family,23,5,4
304,INTP,lombok,tujuan_wisata,family,26,3,5
305,INTP,bali,tujuan_wisata,family,64,5,1
306,INTP,padang,tujuan_wisata,family,66,5,4
307,INTP,batam,tujuan_wisata,family,23,5,3
308,INTP,yogyakarta,tujuan_wisata,family,69,5,4
309,INTP,jakarta,tujuan_wisata,partner,42,3,3
310,INTP,medan,tujuan_wisata,partner,64,3,1
311,INTP,lombok,tujuan_wisata,partner,26,5,1
312,INTP,bali,tujuan_wisata,partner,55,3,3
313,INTP,padang,tujuan_wisata,partner,60,5,3
314,INTP,batam,tujuan_wisata,partner,62,4,1
315,INTP,yogyakarta,tujuan_wisata,partner,56,4,1
316,INTP,jakarta,sejarah_budaya,solo,57,5,5
317,INTP,medan,sejarah_budaya,solo,53,3,3
318,INTP,lombok,sejarah_budaya,solo,34,3,2
319,INTP,bali,sejarah_budaya,solo,63,5,4
320,INTP,padang,sejarah_budaya,solo,67,3,5
321,INTP,batam,sejarah_budaya,solo,58,3,5
322,INTP,yogyakarta,sejarah_budaya,solo,39,3,1
323,INTP,jakarta,sejarah_budaya,family,37,3,3
324,INTP,medan,sejarah_budaya,family,52,4,4
325,INTP,lombok,sejarah_budaya,family,63,5,5
326,INTP,bali,sejarah_budaya,family,64,3,3
327,INTP,padang,sejarah_budaya,family,29,5,2
328,INTP,batam,sejarah_budaya,family,31,3,1
329,INTP,yogyakarta,sejarah_budaya,family,57,4,5
330,INTP,jakarta,sejarah_budaya,partner,32,4,5
331,INTP,medan,sejarah_budaya,partner,56,5,4
332,INTP,lombok,sejarah_budaya,partner,43,4,2
333,INTP,bali,sejarah_budaya,partner,31,5,1
334,INTP,padang,sejarah_budaya,partner,58,4,2
335,INTP,batam,sejarah_budaya,partner,48,3,5
336,INTP,yogyakarta,sejarah_budaya,partner,52,5,1
337,INTP,jakarta,hotel,solo,65,5,1
338,INTP,medan,hotel,solo,41,3,5
339,INTP,lombok,hotel,solo,67,5,5
340,INTP,bali,hotel,solo,25,4,5
341,INTP,padang,hotel,solo,34,4,1
342,INTP,batam,hotel,solo,70,5,1
343,INTP,yogyakarta,hotel,solo,32,3,5
344,INTP,jakarta,hotel,family,49,4,1
345,INTP,medan,hotel,family,29,5,3
346,INTP,lombok,hotel,family,33,5,4
347,INTP,bali,hotel,family,49,4,3
348,INTP,padang,hotel,family,32,3,2
349,INTP,batam,hotel,family,43,5,3
350,INTP,yogyakarta,hotel,family,44,5,5
351,INTP,jakarta,hotel,partner,21,3,1
352,INTP,medan,hotel,partner,56,3,4
353,INTP,lombok,hotel,partner,43,4,2
354,INTP,bali,hotel,partner,23,5,2
355,INTP,padang,hotel,partner,43,5,5
356,INTP,batam,hotel,partner,25,3,3
357,INTP,yogyakarta,hotel,partner,64,3,3
358,INTP,jakarta,tourist_attraction,solo,31,5,1
359,INTP,medan,tourist_attraction,solo,24,3,4
360,INTP,lombok,tourist_attraction,solo,60,4,2
361,INTP,bali,tourist_attraction,solo,58,3,3
362,INTP,padang,tourist_attraction,solo,67,5,5
363,INTP,batam,tourist_attraction,solo,37,4,4
364,INTP,yogyakarta,tourist_attraction,solo,38,4,4
365,INTP,jakarta,tourist_attraction,family,53,3,1
366,INTP,medan,tourist_attraction,family,58,5,1
367,INTP,lombok,tourist_attraction,family,38,3,3
368,INTP,bali,tourist_attraction,family,53,4,1
369,INTP,padang,tourist_attraction,family,55,5,3
370,INTP,batam,tourist_attraction,family,35,3,4
371,INTP,yogyakarta,tourist_attraction,family,67,5,2
372,INTP,jakarta,tourist_attraction,partner,31,4,4
373,INTP,medan,tourist_attraction,partner,41,5,3
374,INTP,lombok,tourist_attraction,partner,34,4,3
375,INTP,bali,tourist_attraction,partner,38,4,4
376,INTP,padang,tourist_attraction,partner,70,4,2
377,INTP,batam,tourist_attraction,partner,34,5,2
378,INTP,yogyakarta,tourist_attraction,partner,58,3,2
379,INTP,jakarta,budaya_sejarah,solo,25,3,2
380,INTP,medan,budaya_sejarah,solo,69,3,2
381,INTP,lombok,budaya_sejarah,solo,55,5,5
382,INTP,bali,budaya_sejarah,solo,28,3,4
383,INTP,padang,budaya_sejarah,solo,22,3,1
384,INTP,batam,budaya_sejarah,solo,21,3,4
385,INTP,yogyakarta,budaya_sejarah,solo,55,5,1
386,INTP,jakarta,budaya_sejarah,family,47,3,5
387,INTP,medan,budaya_sejarah,family,20,4,4
388,INTP,lombok,budaya_sejarah,family,27,3,2
389,INTP,bali,budaya_sejarah,family,47,5,1
390,INTP,padang,budaya_sejarah,family,55,5,2
391,INTP,batam,budaya_sejarah,family,21,3,3
392,INTP,yogyakarta,budaya_sejarah,family,41,3,1
393,INTP,jakarta,budaya_sejarah,partner,21,3,3
394,INTP,medan,budaya_sejarah,partner,26,4,3
395,INTP,lombok,budaya_sejarah,partner,32,4,2
396,INTP,bali,budaya_sejarah,partner,59,3,4
397,INTP,padang,budaya_sejarah,partner,55,3,5
398,INTP,batam,budaya_sejarah,partner,23,4,5
399,INTP,yogyakarta,budaya_sejarah,partner,39,5,4
400,INTP,jakarta,taman,solo,42,4,4
401,INTP,medan,taman,solo,66,5,3
402,INTP,lombok,taman,solo,32,4,2
403,INTP,bali,taman,solo,56,5,3
404,INTP,padang,taman,solo,45,5,5
405,INTP,batam,taman,solo,24,4,3
406,INTP,yogyakarta,taman,solo,24,3,4
407,INTP,jakarta,taman,family,60,4,1
408,INTP,medan,taman,family,30,3,4
409,INTP,lombok,taman,family,53,3,3
410,INTP,bali,taman,family,45,3,4
411,INTP,padang,taman,family,25,4,5
412,INTP,batam,taman,family,59,5,2
413,INTP,yogyakarta,taman,family,22,5,5
414,INTP,jakarta,taman,partner,49,3,3
415,INTP,medan,taman,partner,29,5,2
416,INTP,lombok,taman,partner,37,5,4
417,INTP,bali,taman,partner,67,4,3
418,INTP,padang,taman,partner,68,5,5
419,INTP,batam,taman,partner,49,5,4
420,INTP,yogyakarta,taman,partner,57,3,4
421,INTP,jakarta,hiking_area,solo,42,5,4
422,INTP,medan,hiking_area,solo,22,4,4
423,INTP,lombok,hiking_area,solo,19,5,5
424,INTP,bali,hiking_area,solo,58,3,2
425,INTP,padang,hiking_area,solo,55,3,1
426,INTP,batam,hiking_area,solo,25,4,1
427,INTP,yogyakarta,hiking_area,solo,41,4,5
428,INTP,jakarta,hiking_area,family,27,5,2
429,INTP,medan,hiking_area,family,62,5,4
430,INTP,lombok,hiking_area,family,65,3,3
431,INTP,bali,hiking_area,family,33,3,5
432,INTP,padang,hiking_area,family,34,4,1
433,INTP,batam,hiking_area,family,42,5,1
434,INTP,yogyakarta,hiking_area,family,63,4,5
435,INTP,jakarta,hiking_area,partner,18,3,5
436,INTP,medan,hiking_area,partner,39,3,3
437,INTP,lombok,hiking_area,partner,64,5,2
438,INTP,bali,hiking_area,partner,70,5,4
439,INTP,padang,hiking_area,partner,56,4,5
440,INTP,batam,hiking_area,partner,64,5,2
441,INTP,yogyakarta,hiking_area,partner,65,3,4
442,INTP,jakarta,rekreasi_keluarga,solo,33,5,2
443,INTP,medan,rekreasi_keluarga,solo,65,3,4
444,INTP,lombok,rekreasi_keluarga,solo,68,3,1
445,INTP,bali,rekreasi_keluarga,solo,21,3,2
446,INTP,padang,rekreasi_keluarga,solo,70,4,2
447,INTP,batam,rekreasi_keluarga,solo,56,4,1
448,INTP,yogyakarta,rekreasi_keluarga,solo,33,3,3
449,INTP,jakarta,rekreasi_keluarga,family,70,3,2
450,INTP,medan,rekreasi_keluarga,family,27,3,4
451,INTP,lombok,rekreasi_keluarga,family,33,3,1
452,INTP,bali,rekreasi_keluarga,family,64,4,4
453,INTP,padang,rekreasi_keluarga,family,35,4,2
454,INTP,batam,rekreasi_keluarga,family,20,5,3
455,INTP,yogyakarta,rekreasi_keluarga,family,35,3,3
456,INTP,jakarta,rekreasi_keluarga,partner,48,4,2
457,INTP,medan,rekreasi_keluarga,partner,59,3,2
458,INTP,lombok,rekreasi_keluarga,partner,48,4,1
459,INTP,bali,rekreasi_keluarga,partner,70,4,2
460,INTP,padang,rekreasi_keluarga,partner,37,3,5
461,INTP,batam,rekreasi_keluarga,partner,40,4,3
462,INTP,yogyakarta,rekreasi_keluarga,partner,67,5,3
463,INTP,jakarta,snorkling_area,solo,62,4,5
464,INTP,medan,snorkling_area,solo,25,3,3
465,INTP,lombok,snorkling_area,solo,41,3,5
466,INTP,bali,snorkling_area,solo,61,5,2
467,INTP,padang,snorkling_area,solo,49,4,1
468,INTP,batam,snorkling_area,solo,69,4,3
469,INTP,yogyakarta,snorkling_area,solo,52,3,4
470,INTP,jakarta,snorkling_area,family,27,3,5
471,INTP,medan,snorkling_area,family,23,4,2
472,INTP,lombok,snorkling_area,family,55,3,5
473,INTP,bali,snorkling_area,family,34,3,4
474,INTP,padang,snorkling_area,family,36,4,4
475,INTP,batam,snorkling_area,family,36,4,5
476,INTP,yogyakarta,snorkling_area,family,51,3,4
477,INTP,jakarta,snorkling_area,partner,69,4,3
478,INTP,medan,snorkling_area,partner,51,5,5
479,INTP,lombok,snorkling_area,partner,35,4,3
480,INTP,bali,snorkling_area,partner,66,4,2
481,INTP,padang,snorkling_area,partner,63,4,1
482,INTP,batam,snorkling_area,partner,34,3,5
483,INTP,yogyakarta,snorkling_area,partner,67,3,2
484,INTP,jakarta,kebun_binatang,solo,29,4,4
485,INTP,medan,kebun_binatang,solo,29,3,3
486,INTP,lombok,kebun_binatang,solo,37,5,2
487,INTP,bali,kebun_binatang,solo,58,5,3
488,INTP,padang,kebun_binatang,solo,70,5,3
489,INTP,batam,kebun_binatang,solo,55,4,5
490,INTP,yogyakarta,kebun_binatang,solo,26,4,3
491,INTP,jakarta,kebun_binatang,family,32,3,3
492,INTP,medan,kebun_binatang,family,34,3,3
493,INTP,lombok,kebun_binatang,family,35,4,2
494,INTP,bali,kebun_binatang,family,53,3,2
495,INTP,padang,kebun_binatang,family,38,3,2
496,INTP,batam,kebun_binatang,family,43,3,3
497,INTP,yogyakarta,kebun_binatang,family,69,5,4
498,INTP,jakarta,kebun_binatang,partner,32,4,3
499,INTP,medan,kebun_binatang,partner,19,4,3
500,INTP,lombok,kebun_binatang,partner,42,3,5
501,INTP,bali,kebun_binatang,partner,29,4,5
502,INTP,padang,kebun_binatang,partner,32,5,5
503,INTP,batam,kebun_binatang,partner,64,4,1
504,INTP,yogyakarta,kebun_binatang,partner,29,3,5
505,ENTJ,jakarta,pantai,solo,56,4,4
506,ENTJ,medan,pantai,solo,44,4,3
507,ENTJ,lombok,pantai,solo,22,5,3
508,ENTJ,bali,pantai,solo,32,4,5
509,ENTJ,padang,pantai,solo,64,5,2
510,ENTJ,batam,pantai,solo,50,5,3
511,ENTJ,yogyakarta,pantai,solo,38,3,1
512,ENTJ,jakarta,pantai,family,32,4,2
513,ENTJ,medan,pantai,family,28,5,3
514,ENTJ,lombok,pantai,family,32,5,1
515,ENTJ,bali,pantai,family,58,3,5
516,ENTJ,padang,pantai,family,20,3,1
517,ENTJ,batam,pantai,family,51,3,3
518,ENTJ,yogyakarta,pantai,family,62,4,2
519,ENTJ,jakarta,pantai,partner,30,5,1
520,ENTJ,medan,pantai,partner,46,5,2
521,ENTJ,lombok,pantai,partner,23,4,1
522,ENTJ,bali,pantai,partner,36,3,5
523,ENTJ,padang,pantai,partner,18,5,5
524,ENTJ,batam,pantai,partner,53,4,5
525,ENTJ,yogyakarta,pantai,partner,31,3,5
526,ENTJ,jakarta,alam,solo,63,5,2
527,ENTJ,medan,alam,solo,43,4,5
528,ENTJ,lombok,alam,solo,57,5,1
529,ENTJ,bali,alam,solo,48,3,4
530,ENTJ,padang,alam,solo,34,4,1
531,ENTJ,batam,alam,solo,64,4,3
532,ENTJ,yogyakarta,alam,solo,22,5,2
533,ENTJ,jakarta,alam,family,49,4,4
534,ENTJ,medan,alam,family,44,4,2
535,ENTJ,lombok,alam,family,28,5,1
536,ENTJ,bali,alam,family,66,5,3
537,ENTJ,padang,alam,family,45,3,4
538,ENTJ,batam,alam,family,46,4,3
539,ENTJ,yogyakarta,alam,family,38,3,5
